asof,ticker,smirk,otm_call_oi,otm_call_oi_d5
2026-08-06,ATS,0.0,0.0,
2026-08-06,ATYR,,0.0,
2026-08-06,AUPH,0.187498125,0.0,
2026-08-06,AVNT,,0.0,
2026-08-06,AVPT,0.187498125,0.0,
2026-08-06,BARK,,0.0,
2026-08-06,BCAB,,0.0,
2026-08-06,BCE,0.187498125,2.0,
2026-08-06,BCIC,,0.0,
2026-08-06,BDTX,0.0,0.0,
2026-08-06,BDX,0.2187478125,0.0,
2026-08-06,BFS,,0.0,
2026-08-06,BHF,-0.7272876489257811,59.0,
2026-08-06,BKSY,0.0,0.0,
2026-08-06,BKV,1.294916025390625,0.0,
2026-08-06,BLFS,0.187498125,0.0,
2026-08-06,BLND,0.0,0.0,
2026-08-06,BLNK,,0.0,
2026-08-06,BMRN,0.187498125,0.0,
2026-08-06,BOBS,0.187498125,0.0,
2026-08-06,BRLT,,0.0,
2026-08-06,BRT,,0.0,
2026-08-06,BSY,0.12499874999999999,430.0,
2026-08-06,BTG,0.0,0.0,
2026-08-06,BUR,,0.0,
2026-08-06,BXSL,1.2343689843749999,0.0,
2026-08-06,CABA,0.37499625000000003,0.0,
2026-08-06,CARG,0.2187478125,1.0,
2026-08-06,CARS,0.187498125,0.0,
2026-08-06,CART,0.48437015625,0.0,
2026-08-06,CBL,0.062499374999999996,0.0,
2026-08-06,CCCC,0.12499874999999999,0.0,
2026-08-06,CCLD,,0.0,
2026-08-06,CCOI,0.0,0.0,
2026-08-06,CCSI,0.187498125,0.0,
2026-08-06,CEG,0.4687453125,0.0,
2026-08-06,CELH,0.43749562500000005,0.0,
2026-08-06,CENX,0.187498125,0.0,
2026-08-06,CGBD,1.7539037402343751,0.0,
2026-08-06,CGC,,0.0,
2026-08-06,CGEM,0.2187478125,0.0,
2026-08-06,CHGG,,0.0,
2026-08-06,CIA,,0.0,
2026-08-06,CION,0.0,0.0,
2026-08-06,CLAR,0.0,0.0,
2026-08-06,CLDX,-0.6298765136718749,1.0,
2026-08-06,CLLS,1.34374578125,0.0,
2026-08-06,CLMT,0.2187478125,0.0,
2026-08-06,CLNE,0.37499625000000003,0.0,
2026-08-06,CLPR,,0.0,
2026-08-06,CLSK,0.37499625000000003,0.0,
2026-08-06,CMRC,0.0,0.0,
2026-08-06,CNQ,0.4687453125,0.0,
2026-08-06,CNR,0.23437265625,0.0,
2026-08-06,CNTY,,0.0,
2026-08-06,COLD,0.37499625000000003,0.0,
2026-08-06,COLL,,0.0,
2026-08-06,CON,0.12499874999999999,0.0,
2026-08-06,COP,0.4687453125,0.0,
2026-08-06,CPK,0.10937390625,0.0,
2026-08-06,CQP,0.23437265625,0.0,
2026-08-06,CRAI,-0.19067192138671868,1.0,
2026-08-06,CRNC,0.12499874999999999,0.0,
2026-08-06,CRON,0.37499625000000003,0.0,
2026-08-06,CRSR,0.0,0.0,
2026-08-06,CRVS,0.12499874999999999,0.0,
2026-08-06,CTEV,0.12499874999999999,0.0,
2026-08-06,CTMX,-0.12499874999999999,0.0,
2026-08-06,CTRE,0.8144449804687499,0.0,
2026-08-06,CTSO,,0.0,
2026-08-06,CVRX,,0.0,
2026-08-06,CVSA,0.23437265625,34.0,
2026-08-06,CWST,-0.4977977563476562,0.0,
2026-08-06,CYD,0.2187478125,0.0,
2026-08-06,CYRX,0.12499874999999999,0.0,
2026-08-06,CYTK,0.23437265625,0.0,
2026-08-06,DAN,0.187498125,28.0,
2026-08-06,DBX,0.37499625000000003,0.0,
2026-08-06,DCBO,0.12499874999999999,0.0,
2026-08-06,DCGO,0.0,0.0,
2026-08-06,DCH,0.0,0.0,
2026-08-06,DCO,0.23437265625,0.0,
2026-08-06,DCTH,0.0,0.0,
2026-08-06,DDOG,0.4687453125,0.0,
2026-08-06,DFTX,0.23437265625,0.0,
2026-08-06,DKNG,0.43749562500000005,0.0,
2026-08-06,DMLP,0.5117136328125,0.0,
2026-08-06,DNLI,0.2187478125,0.0,
2026-08-06,DNOW,0.187498125,0.0,
2026-08-06,DNUT,,0.0,
2026-08-06,DOCS,0.187498125,0.0,
2026-08-06,DOUG,,0.0,
2026-08-06,DRVN,0.2187478125,0.0,
2026-08-06,DSGR,-2.0273396191406245,0.0,
2026-08-06,DTIL,,0.0,
2026-08-06,DV,0.187498125,0.0,
2026-08-06,ED,0.23437265625,41.0,
2026-08-06,EFC,0.12499874999999999,0.0,
2026-08-06,EFXT,0.09179641601562483,0.0,
2026-08-06,EGY,0.0,0.0,
2026-08-06,ELTX,0.0,0.0,
2026-08-06,EMA,0.187498125,0.0,
2026-08-06,EMBC,0.0,0.0,
2026-08-06,ENOV,0.12499874999999999,0.0,
2026-08-06,EPAM,0.187498125,0.0,
2026-08-06,EQX,0.24999750000000004,0.0,
2026-08-06,ESAB,0.2187478125,0.0,
2026-08-06,ESE,0.09374906250000001,1.0,
2026-08-06,ESNT,,0.0,
2026-08-06,ESTA,0.23437265625,0.0,
2026-08-06,EVH,-0.24999750000000004,0.0,
2026-08-06,EVMN,0.0,0.0,
2026-08-06,EVRG,0.2187478125,0.0,
2026-08-06,EWTX,0.2187478125,0.0,
2026-08-06,EXFY,0.24999750000000004,0.0,
2026-08-06,FA,0.12499874999999999,0.0,
2026-08-06,FDUS,0.0,0.0,
2026-08-06,FGNX,,0.0,
2026-08-06,FIGS,,0.0,
2026-08-06,FIRY,0.2187478125,0.0,
2026-08-06,FISV,0.43749562500000005,0.0,
2026-08-06,FIVN,0.23437265625,0.0,
2026-08-06,FLL,,0.0,
